n_trades,win_rate,avg_trade,profit_factor,cagr,sharpe,sortino,max_dd,exposure,worst_trade,worst_year,trades_per_year,market,filter,stop,cost,data_start,data_end
44,0.5909090909090909,0.0036679266101059317,1.916273218268277,0.04013850882508829,0.8657191937819187,1.7299563888341996,-0.04797168389814799,0.061168384879725084,-0.031004131999439275,0.03574607150408249,11.045360824742268,Nasdaq100,G_close_gt_sma180_control,no_stop,2x,2022-09-22,2026-09-16
44,0.5909090909090909,0.0034149889159059924,1.7601712828880607,0.03714659030396206,0.772436718991356,1.6336880503683178,-0.0625024699671094,0.058419243986254296,-0.02040000000000013,0.018536526409310472,11.045360824742268,Nasdaq100,G_close_gt_sma180_control,stop_2pct,1x,2022-09-22,2026-09-16
44,0.5909090909090909,0.003014988915905995,1.6475449418475347,0.03258808144497327,0.6819606749382028,1.4423330456408852,-0.0663475258322922,0.058419243986254296,-0.020800000000000127,0.011639261425217873,11.045360824742268,Nasdaq100,G_close_gt_sma180_control,stop_2pct,2x,2022-09-22,2026-09-16
44,0.5909090909090909,0.00406792661010593,2.0595058982788355,0.04472727588581704,0.9601288465156098,1.9186140772478972,-0.04604706593841568,0.061168384879725084,-0.030604131999439278,0.037389847548742416,11.045360824742268,Nasdaq100,G_close_gt_sma180_control,stop_5pct,1x,2022-09-22,2026-09-16
44,0.5909090909090909,0.0036679266101059317,1.916273218268277,0.04013850882508829,0.8657191937819187,1.7299563888341996,-0.04797168389814799,0.061168384879725084,-0.031004131999439275,0.03574607150408249,11.045360824742268,Nasdaq100,G_close_gt_sma180_control,stop_5pct,2x,2022-09-22,2026-09-16
44,0.5909090909090909,0.00406792661010593,2.0595058982788355,0.04472727588581704,0.9601288465156098,1.9186140772478972,-0.04604706593841568,0.061168384879725084,-0.030604131999439278,0.037389847548742416,11.045360824742268,Nasdaq100,G_close_gt_sma180_control,stop_10pct,1x,2022-09-22,2026-09-16
44,0.5909090909090909,0.0036679266101059317,1.916273218268277,0.04013850882508829,0.8657191937819187,1.7299563888341996,-0.04797168389814799,0.061168384879725084,-0.031004131999439275,0.03574607150408249,11.045360824742268,Nasdaq100,G_close_gt_sma180_control,stop_10pct,2x,2022-09-22,2026-09-16
29,0.4482758620689655,-0.0005674848956082957,0.7204523315959404,-0.004349468464111217,-0.32678633998894435,-0.4652046062179107,-0.025294909878016303,0.0412224591329069,-0.013343380785217506,-0.016651185220942,7.528251599147121,EURUSD,A_none,no_stop,1x,2022-11-08,2026-09-16
29,0.4482758620689655,-0.0009674848956082954,0.5701406089814066,-0.007345525830271593,-0.5571264547781896,-0.7931108534629588,-0.032297942556801185,0.0412224591329069,-0.013743380785217507,-0.02800104388213387,7.528251599147121,EURUSD,A_none,no_stop,2x,2022-11-08,2026-09-16
29,0.4482758620689655,-0.0005674848956082957,0.7204523315959404,-0.004349468464111217,-0.32678633998894435,-0.4652046062179107,-0.025294909878016303,0.0412224591329069,-0.013343380785217506,-0.016651185220942,7.528251599147121,EURUSD,A_none,stop_2pct,1x,2022-11-08,2026-09-16
29,0.4482758620689655,-0.0009674848956082954,0.5701406089814066,-0.007345525830271593,-0.5571264547781896,-0.7931108534629588,-0.032297942556801185,0.0412224591329069,-0.013743380785217507,-0.02800104388213387,7.528251599147121,EURUSD,A_none,stop_2pct,2x,2022-11-08,2026-09-16
29,0.4482758620689655,-0.0005674848956082957,0.7204523315959404,-0.004349468464111217,-0.32678633998894435,-0.4652046062179107,-0.025294909878016303,0.0412224591329069,-0.013343380785217506,-0.016651185220942,7.528251599147121,EURUSD,A_none,stop_5pct,1x,2022-11-08,2026-09-16
29,0.4482758620689655,-0.0009674848956082954,0.5701406089814066,-0.007345525830271593,-0.5571264547781896,-0.7931108534629588,-0.032297942556801185,0.0412224591329069,-0.013743380785217507,-0.02800104388213387,7.528251599147121,EURUSD,A_none,stop_5pct,2x,2022-11-08,2026-09-16
29,0.4482758620689655,-0.0005674848956082957,0.7204523315959404,-0.004349468464111217,-0.32678633998894435,-0.4652046062179107,-0.025294909878016303,0.0412224591329069,-0.013343380785217506,-0.016651185220942,7.528251599147121,EURUSD,A_none,stop_10pct,1x,2022-11-08,2026-09-16
29,0.4482758620689655,-0.0009674848956082954,0.5701406089814066,-0.007345525830271593,-0.5571264547781896,-0.7931108534629588,-0.032297942556801185,0.0412224591329069,-0.013743380785217507,-0.02800104388213387,7.528251599147121,EURUSD,A_none,stop_10pct,2x,2022-11-08,2026-09-16
15,0.4666666666666667,-0.00034390753811968825,0.790136075818041,-0.0013660427874224723,-0.18030140944623796,-0.29015724283526123,-0.01594471256183616,0.02203269367448472,-0.008947928688312777,-0.005251967416449177,3.8939232409381663,EURUSD,B_ibs_lt_0.5,no_stop,1x,2022-11-08,2026-09-16
