n_trades,win_rate,avg_trade,profit_factor,cagr,sharpe,sortino,max_dd,exposure,worst_trade,worst_year,trades_per_year,market,source,filter,stop,cost,data_start,data_end
145,0.5103448275862069,-0.001034282786995548,0.7375844872786672,-0.04086495793653466,-0.4683634251106728,-0.4009692066549527,-0.19626777632507753,0.3121951219512195,-0.13038543818614187,-0.16162062155559254,36.90679442508711,DAX30,ibkr_daily,G_prior_close_gt_sma180_control,no_stop,2x,2022-10-13,2026-09-17
145,0.5517241379310345,-0.0001544302389880777,0.9528460506462624,-0.007014885352658373,-0.11023577073049379,-0.1521789744753368,-0.10744696608115867,0.3121951219512195,-0.024078391673720324,-0.07541186740147077,36.90679442508711,DAX30,ibkr_daily,G_prior_close_gt_sma180_control,stop_2pct,1x,2022-10-13,2026-09-17
145,0.5103448275862069,-0.0005544302389880778,0.8398313779157297,-0.02157254233070749,-0.39576474861157884,-0.5380737821763428,-0.13085704856751657,0.3121951219512195,-0.02447839167372032,-0.09339017904547564,36.90679442508711,DAX30,ibkr_daily,G_prior_close_gt_sma180_control,stop_2pct,2x,2022-10-13,2026-09-17
145,0.5586206896551724,-8.541769605663899e-05,0.97337641772413,-0.0046553622622114155,-0.05752818862308743,-0.06689482759242626,-0.09908539088118729,0.3121951219512195,-0.05040000000000004,-0.06675018243046105,36.90679442508711,DAX30,ibkr_daily,G_prior_close_gt_sma180_control,stop_5pct,1x,2022-10-13,2026-09-17
145,0.5103448275862069,-0.0004854176960566392,0.856915656256348,-0.019246751491157066,-0.3269252399551277,-0.38308786977871845,-0.12271176195467592,0.3121951219512195,-0.050800000000000047,-0.08489376677460558,36.90679442508711,DAX30,ibkr_daily,G_prior_close_gt_sma180_control,stop_5pct,2x,2022-10-13,2026-09-17
145,0.5586206896551724,-0.000634282786995549,0.8311826068654985,-0.026585647642966892,-0.2872278861653891,-0.23676887830835747,-0.17459053403095326,0.3121951219512195,-0.1299854381861419,-0.1449653210871681,36.90679442508711,DAX30,ibkr_daily,G_prior_close_gt_sma180_control,stop_10pct,1x,2022-10-13,2026-09-17
145,0.5103448275862069,-0.001034282786995548,0.7375844872786672,-0.04086495793653466,-0.4683634251106728,-0.4009692066549527,-0.19626777632507753,0.3121951219512195,-0.13038543818614187,-0.16162062155559254,36.90679442508711,DAX30,ibkr_daily,G_prior_close_gt_sma180_control,stop_10pct,2x,2022-10-13,2026-09-17
180,0.5611111111111111,0.0007267369510575829,1.147205992620622,0.02814172842070506,0.32727090436070055,0.3981897752771126,-0.1822540452079625,0.46941580756013745,-0.0697806957656573,-0.01779142329415584,45.18556701030928,Nasdaq100,ibkr_daily,A_none,no_stop,1x,2022-09-22,2026-09-16
180,0.5444444444444444,0.00032673695105758284,1.0638605575300428,0.009731279763973255,0.14713920532740377,0.1795724827646984,-0.19304741835990102,0.46941580756013745,-0.0701806957656573,-0.02917874861647385,45.18556701030928,Nasdaq100,ibkr_daily,A_none,no_stop,2x,2022-09-22,2026-09-16
180,0.5555555555555556,0.00071331527446684,1.1441189680330017,0.028016854637525235,0.33681349305020797,0.4697466281894476,-0.1330958387800435,0.46941580756013745,-0.05716578221111006,-0.051387860448155465,45.18556701030928,Nasdaq100,ibkr_daily,A_none,stop_2pct,1x,2022-09-22,2026-09-16
