timeframe,strategy,params,is_sharpe,is_cagr,is_maxdd,is_trades,oos_sharpe,oos_cagr,oos_maxdd,oos_calmar,oos_trades,oosA_cagr,oosB_cagr,full_sharpe,full_cagr,full_maxdd,n_combos_tested,search_seconds
1d,tsmom_LS,"{""lookback"": 90, ""long_short"": true}",1.1697615118870106,0.8163889800377897,-0.6935633676324671,79,0.22424374139316267,-0.0700974669352904,-0.8790505640263335,-0.07974224669650573,76,-0.26570156008499446,0.324324983043917,0.7694471649696287,0.3386301437184469,-0.8891223560393839,9,0.0
1d,ema_crossover_LS,"{""fast"": 3, ""slow"": 7, ""long_short"": true}",1.251800019644726,0.9357945951719566,-0.48520485492999343,256,0.15206752864043188,-0.10470260890620786,-0.8196114312881596,-0.12774664299355828,248,-0.09263285385904885,-0.12045805997575842,0.7861779165578527,0.3619564568657674,-0.8196114312881599,9,0.0
1d,bollinger_mr_LS,"{""period"": 7, ""n_std"": 2.0, ""exit_z"": 0.5, ""long_short"": true}",-0.5160303821398188,-0.23292651934352548,-0.895206341190473,136,-0.5611965324534549,-0.21301022998787567,-0.7066914370174093,-0.3014190052831051,116,-0.22147181371407676,-0.20051107550588454,-0.5334891132683005,-0.2238202496667986,-0.954350306063194,18,0.1
1h,tsmom_L,"{""lookback"": 1440, ""long_short"": false}",1.2374610164772395,0.7504658499552974,-0.6594824572130569,356,1.354191886016441,0.6949089071684702,-0.5109751659954594,1.3599661067963629,295,0.5428496662995335,0.9507096733848908,1.2818833431010148,0.7308218844347638,-0.6594824572130569,9,0.1
1h,volatility_breakout_L,"{""atr_period"": 12, ""k"": 1.0, ""ema_span"": 72, ""long_short"": false}",1.4865893412626683,0.8997057606322514,-0.481952824323454,782,1.334766259313384,0.6261198635134253,-0.6459963880427553,0.9692312141410697,789,0.5604175173993353,0.7301669994768123,1.4255428294273984,0.7758181446467023,-0.6459963880427543,36,5.0
1h,donchian_breakout_L,"{""entry_n"": 720, ""exit_n"": 180, ""long_short"": false}",1.5607028181131979,0.7856176972364388,-0.3184146813049823,56,1.0087352434776984,0.360088975329216,-0.546281133220266,0.6591642167953558,68,0.23516048940651935,0.5703736999947604,1.3248668788730915,0.5770337236261303,-0.5462811332202661,12,1.7
1h,ema_crossover_L,"{""fast"": 72, ""slow"": 168, ""long_short"": false}",1.591397630690115,1.0234530375306385,-0.44550214487158946,253,0.8514312198610191,0.3211658505325452,-0.6832062316574395,0.470086242851453,255,0.09650188351848055,0.7440292613517101,1.2871677083423323,0.6699889390997373,-0.6832062316574385,24,0.2
1h,ema_crossover_adx_L,"{""fast"": 48, ""slow"": 168, ""adx_period"": 48, ""adx_min"": 15, ""long_short"": false}",1.1322765739102407,0.43708856487207637,-0.357468514416623,418,0.9129230124036425,0.2578199864513515,-0.4692724284425872,0.549403653027304,353,-0.01640894809537663,0.8140685722343544,1.0481005587307601,0.3572435794561437,-0.46927242844258577,54,1.5
1h,ema_crossover_adx_LS,"{""fast"": 24, ""slow"": 336, ""adx_period"": 24, ""adx_min"": 15, ""long_short"": true}",0.9170368503041875,0.4996565530011725,-0.5741691582700794,1134,0.6349398268081228,0.22200992713116086,-0.6727961148754456,0.32998098862723285,968,-0.020482489310971852,0.6977173417726541,0.805005690269516,0.37223968139634667,-0.6727961148754447,54,1.5
1h,volatility_breakout_LS,"{""atr_period"": 12, ""k"": 1.0, ""ema_span"": 72, ""long_short"": true}",1.0618195142325921,0.7002330685700489,-0.5510661322105872,782,0.6259144340670029,0.21485836375208578,-0.7017254059259554,0.3061858127661366,790,0.28495224312875744,0.11568640464646962,0.885917888502067,0.4655605139520409,-0.7017254059259588,36,5.2
1h,tsmom_LS,"{""lookback"": 4320, ""long_short"": true}",1.022014795071997,0.645920802323249,-0.6949738270250803,45,0.5301280325302394,0.1391044044840637,-0.8509523490267429,0.1634690880672239,238,-0.020365748112951887,0.423097161651556,0.8235094393950732,0.3982989726370425,-0.8509523490267437,9,0.1
1h,rsi2_mr,"{""rsi_period"": 12, ""buy_th"": 20, ""sell_th"": 70, ""trend_span"": 2400}",0.35184612650132246,0.059022090119961845,-0.27646992254448166,82,0.4066584000726346,0.06577998514415495,-0.24974375784018443,0.26338990697116343,82,0.03992686695696546,0.10553343808774751,0.3724737519072889,0.06206314495920484,-0.27646992254448166,24,0.6
1h,donchian_breakout_LS,"{""entry_n"": 720, ""exit_n"": 180, ""long_short"": true}",1.17539306104305,0.7183338245020703,-0.5470343850371182,99,0.3648359048797887,0.049508122973830115,-0.7267523540437184,0.06812241157302383,125,0.06238413648952501,0.030707452776465693,0.8308250635843349,0.3724857025314272,-0.7267523540437173,12,1.7
1h,bollinger_mr_L,"{""period"": 6, ""n_std"": 2.0, ""exit_z"": 0.5, ""long_short"": false}",0.2493450204069454,0.02266023026984265,-0.20645502700852014,368,-0.9572643421002459,-0.07473890495479363,-0.3460634631951356,-0.21596878290688096,222,-0.11946153158107309,-0.004068855863686771,-0.178635567259723,-0.02290374314443966,-0.4709290437113258,36,2.7
1h,bollinger_mr_LS,"{""period"": 6, ""n_std"": 2.0, ""exit_z"": 0.5, ""long_short"": true}",-0.5841541014583029,-0.10696088437411877,-0.6239296164264145,718,-1.0472811643869506,-0.12258205302622782,-0.5680951015156418,-0.21577734555215608,442,-0.1544585869114754,-0.07308424267792701,-0.7437548695339354,-0.114057089053201,-0.8090639378835027,36,2.7
1h,ema_crossover_LS,"{""fast"": 72, ""slow"": 168, ""long_short"": true}",1.2247874973446815,0.9384864075653616,-0.5142055831259551,254,0.012540076376085563,-0.19326719946427595,-0.8796525919529333,-0.21970855452741836,256,-0.36052311625110633,0.1372924491870029,0.728818456349911,0.3031261838237944,-0.8796525919529335,24,0.2
5h,volatility_breakout_L,"{""atr_period"": 5, ""k"": 1.0, ""ema_span"": 14, ""long_short"": false}",1.5913984570359494,0.9257701079324558,-0.47920368727379936,325,1.4019856137417863,0.6808808525568288,-0.5902638247126131,1.1535195349102332,331,0.5236357818500763,0.947082723713766,1.512167235773587,0.8135390323794653,-0.5902638247126127,36,1.1
5h,tsmom_L,"{""lookback"": 14, ""long_short"": false}",1.5342217214631835,0.9011696868670447,-0.5494525811895725,1194,1.3539319611071905,0.6516500080032681,-0.5720056265701591,1.1392370594510932,1093,0.4974750629195017,0.9146426321760137,1.4609637708197423,0.7882150295890209,-0.572005626570159,9,0.0
5h,ema_crossover_adx_L,"{""fast"": 2, ""slow"": 67, ""adx_period"": 5, ""adx_min"": 15, ""long_short"": false}",1.6971678543154192,1.060515260022758,-0.3308260559631253,436,1.2531486676431915,0.5831484475504709,-0.54421577194482,1.0715390431749532,413,0.3387711766514283,1.0332792263624322,1.511019995569917,0.8326048236900163,-0.5442157719448184,54,0.5
5h,ema_crossover_L,"{""fast"": 2, ""slow"": 67, ""long_short"": false}",1.688613125346268,1.0529925918601153,-0.33082605596312586,402,1.1949030563472702,0.5445435753145516,-0.5473838143770491,0.9948112476330162,393,0.30068746782025024,0.9959661086313176,1.4810340025791844,0.8085205985182093,-0.5473838143770503,19,0.1
5h,donchian_breakout_L,"{""entry_n"": 34, ""exit_n"": 8, ""long_short"": false}",1.897948693986374,0.9955642579849746,-0.27423620788823766,178,1.1965019685588898,0.4264863037197282,-0.3306435062741244,1.2898674724497508,205,0.30446519938453,0.6304577057757734,1.6086787589909246,0.7175003765461803,-0.33064350627412387,12,0.4
5h,tsmom_LS,"{""lookback"": 14, ""long_short"": true}",1.156974592153744,0.8001664052136099,-0.6124897470915944,1195,0.7243067710072555,0.2966516858520316,-0.5394524884922174,0.5499125357289206,1094,0.25023782640949754,0.371036510622047,0.9781615198131292,0.5552689659439478,-0.6124897470915944,9,0.0
5h,volatility_breakout_LS,"{""atr_period"": 5, ""k"": 2.0, ""ema_span"": 10, ""long_short"": true}",1.224571171570884,0.8931046801337192,-0.5709103694943412,153,0.6612463690031078,0.2442376953876837,-0.548153609275011,0.44556432951470104,147,0.14970747864633438,0.3976006977836337,0.9903882168248603,0.5679174007441596,-0.5709103694943412,36,1.2
5h,donchian_breakout_LS,"{""entry_n"": 67, ""exit_n"": 34, ""long_short"": true}",1.2426759743004971,0.8329038730041878,-0.5117928910516748,138,0.5689138013507667,0.17533317312470031,-0.7200567679534382,0.24349909747121226,146,0.12355383732866176,0.25503240314264186,0.9556161394176185,0.4971989570212192,-0.7200567679534364,12,0.4
5h,ema_crossover_adx_LS,"{""fast"": 2, ""slow"": 67, ""adx_period"": 5, ""adx_min"": 15, ""long_short"": true}",1.361326324177789,1.0991590855544544,-0.4966725340429422,473,0.560910824738898,0.16636996582376562,-0.7683987397168851,0.21651514666078744,445,-0.00795992579360838,0.48189319339890946,1.0293745195523831,0.611346388398291,-0.7683987397168844,54,0.5
5h,ema_crossover_LS,"{""fast"": 2, ""slow"": 67, ""long_short"": true}",1.3604223072271722,1.0985698497233138,-0.4843870130287603,403,0.5243581277888475,0.13882213273571287,-0.768398739716885,0.18066418587159788,394,-0.060880449060110364,0.5149462397110693,1.0130738787596638,0.5936646756544885,-0.7683987397168848,19,0.1
5h,rsi2_mr,"{""rsi_period"": 2, ""buy_th"": 10, ""sell_th"": 60, ""trend_span"": 144}",-0.0006816254864050334,-0.02830159384459885,-0.4525760002200936,406,0.3910230113426824,0.05999991756645118,-0.3685983976779792,0.1627785631853703,354,0.05521603998361013,0.06726329832043265,0.1608156981990844,0.010961027374239762,-0.4896792766544924,12,0.1
5h,bollinger_mr_L,"{""period"": 34, ""n_std"": 3.0, ""exit_z"": 0.5, ""long_short"": false}",-0.028181326607335248,-0.07076203369051104,-0.7170475993852663,110,-0.2176214801577192,-0.08675225738289039,-0.5265820969677879,-0.16474593018341296,70,-0.1831189000808624,0.07909371286994693,-0.09901273268010902,-0.07804084991056004,-0.7783263502160684,30,0.5
5h,bollinger_mr_LS,"{""period"": 34, ""n_std"": 3.0, ""exit_z"": 0.0, ""long_short"": true}",-0.5073775740492461,-0.29581238589913583,-0.9352446349184602,192,-0.7334696597004767,-0.29963899939773964,-0.892325290950865,-0.33579570414107984,162,-0.4085147893043789,-0.09901942807257791,-0.5958703355216692,-0.29742944984620745,-0.9905340459459344,30,0.6
5m,donchian_breakout_L,"{""entry_n"": 2016, ""exit_n"": 1008, ""long_short"": false}",1.5420030239341416,0.9768285949257685,-0.32015195367161753,200,1.4106212157171845,0.6287363691466048,-0.4038781746166521,1.5567475755365605,195,0.5708097527885376,0.7200343740905135,1.4839656709837334,0.8156312449267331,-0.40387817461666464,12,17.1
5m,volatility_breakout_L,"{""atr_period"": 288, ""k"": 3.0, ""ema_span"": 864, ""long_short"": false}",1.0520499020456084,0.5758917118692082,-0.5693722626043658,1076,1.2828781499998843,0.6093182125790901,-0.5900972152795985,1.0325725944840876,1239,0.5789555146258507,0.6599631260670464,1.133953687347352,0.5961743339124381,-0.5900972152795989,36,60.3
5m,tsmom_L,"{""lookback"": 51840, ""long_short"": false}",1.1452508420399674,0.7585002719135578,-0.6968175635305016,136,0.8598926436998486,0.3762564028076132,-0.7313336422861128,0.514479822959401,853,0.1715786420590828,0.7495427780943991,1.0302519171361355,0.5778384265066139,-0.7313336422861099,9,0.5
5m,ema_crossover_L,"{""fast"": 864, ""slow"": 2016, ""long_short"": false}",1.4217634203052383,1.0059730751329097,-0.44612549207202057,251,0.8413128235456461,0.3316774240871876,-0.659863363955258,0.502645611508259,253,0.11999543157737835,0.7235460122947477,1.1905507882932738,0.6686919176555306,-0.6598633639552659,24,1.8
5m,volatility_breakout_LS,"{""atr_period"": 288, ""k"": 3.0, ""ema_span"": 864, ""long_short"": true}",0.47818211961417706,0.0027026176412845437,-0.783696159192403,1076,0.5555124021488526,0.15495252211007582,-0.6265407458492411,0.24731435766407545,1240,0.25585365081499645,0.021276419391868195,0.5063903704143111,0.0733923441541644,-0.783696159192403,36,61.2
5m,ema_crossover_adx_L,"{""fast"": 144, ""slow"": 2016, ""adx_period"": 288, ""adx_min"": 15, ""long_short"": false}",0.6876330851296388,0.14189380616961822,-0.2526249177296134,324,0.5088695797056856,0.04657104141544455,-0.14206001747077657,0.3278265218081137,72,0.03844559066872044,0.05884315061092216,0.5974236918862486,0.0973924783982012,-0.2526249177296134,54,17.1
5m,tsmom_LS,"{""lookback"": 51840, ""long_short"": true}",0.8585372039509025,0.43919188610139104,-0.7953394811825901,137,0.24023996827043667,-0.07338971083620105,-0.9010166786327679,-0.08145211134999741,854,-0.23382076054931078,0.22621814218263236,0.6204757043815127,0.1820070578138946,-0.9154330264867739,9,0.5
5m,ema_crossover_LS,"{""fast"": 864, ""slow"": 2016, ""long_short"": true}",1.0082170248226576,0.6590726693364692,-0.5501542530589758,252,0.04605983118482521,-0.19084565540742426,-0.8792116626943538,-0.21706451757313552,254,-0.3484178494945491,0.11358819738375336,0.6374186698200976,0.19906733470688098,-0.8792116626943525,24,2.3
5m,donchian_breakout_LS,"{""entry_n"": 864, ""exit_n"": 216, ""long_short"": true}",0.9944623062343682,0.5877235090137505,-0.46536192718663494,1221,-0.2297499277015721,-0.24029508156246282,-0.8822840941541105,-0.2723556767651418,1249,-0.35077689259239897,-0.0405449482231377,0.5242753200119801,0.13642741754398213,-0.8822840941541076,12,19.6
5m,bollinger_mr_L,"{""period"": 72, ""n_std"": 2.5, ""exit_z"": 0.5, ""long_short"": false}",1.0938869273686844,0.5476847292236198,-0.8017350622395905,7376,-0.7474509855578967,-0.3070612350285078,-0.8487852487717934,-0.3617655178065719,5842,-0.19943006002427766,-0.44138799401641005,0.386613707224004,0.07368890595296573,-0.9681517367688567,36,29.1
5m,bollinger_mr_LS,"{""period"": 72, ""n_std"": 2.0, ""exit_z"": 0.5, ""long_short"": true}",0.18389225905950413,-0.11700621980455639,-0.9955899666453355,20906,-3.1992293012992814,-0.8444495730133349,-0.9999132748009135,-0.8445228144225487,16418,-0.7891755958996228,-0.9010770776795081,-1.1114866913307586,-0.5999195988022983,-0.9999996031674303,36,30.3
5m,ema_crossover_adx_LS,"{""fast"": 144, ""slow"": 2016, ""adx_period"": 576, ""adx_min"": 20, ""long_short"": true}",0.6501782277556775,0.1652595899834588,-0.24237616963685826,204,,,,,0,,,0.4796508878313905,0.08679973374689065,-0.24237616963685826,54,17.4
